BusinessDivision,CountryGroup,PlanningEntity,StrategicCrop,Crop,ProductLine,Commonname,LocalProductName,Market_Volume_2022,Market_Volume_2023,Market_Value_USD_2022,Market_Value_USD_2023
CP Core,Andean,Colombia,Vegetables,Alliums (L3),Insecticides,abamectin,ABAMECAL -  [L],30.09,30.09,384.86,388.24
CP Core,Andean,Colombia,Specialty,Avocados (L3),Insecticides,abamectin,ABASAC 1 8 EC (ABAMECTINA) -  [L],16.12,16.12,206.17,207.98
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Insecticides,abamectin,ABASAC 1 8 EC (ABAMECTINA) -  [L],13.97,13.97,178.68,180.25
CP Core,Andean,Colombia,Corn,Corn (L2),Herbicides,acetochlor,ACETOGAN -  [L],21.41,21.41,186.2,187.84
CP Core,Andean,Colombia,Corn,Corn (L2),Seed Treatment,pyraclostrobin+thiophanate,ACRONIS -  [L],0.66,0.66,24.07,24.28
CP Core,Andean,Colombia,Rice,Rice (L2),Seed Treatment,pyraclostrobin+thiophanate,ACRONIS -  [L],2.15,2.15,77.83,78.51
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,metiram,AGUILA WG -  [KG],66.72,66.72,209.85,211.69
CP Core,Andean,Colombia,Corn,Corn (L2),Insecticides,fipronil,ALBATROSS 200 SC -  [L],4.75,4.75,108.28,109.23
CP Core,Andean,Colombia,Rice,Rice (L2),Insecticides,fipronil,ALBATROSS 200 SC -  [L],21.8,21.8,415.43,419.08
CP Core,Andean,Colombia,Specialty,Specialty Others Remaining (L3),Insecticides,fipronil,ALBATROSS 200 SC -  [L],11.61,11.61,221.24,223.19
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Insecticides,triflumuron,ALSYSTIN SC 480 -  [L],2.5,2.5,91.7,92.5
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,copper oxide+metalaxyl,ALTAIR WP (COBRE OXIDO + METALAXIL) -  [L],15.8,15.8,248.87,251.06
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,copper oxide+metalaxyl,ALTAIR WP (COBRE OXIDO + METALAXIL) -  [L],9.97,9.97,157,158.38
CP Core,Andean,Colombia,Specialty,Citrus (L2),Insecticides,fipronil,AMULET 200SC -  [L],13.51,13.51,439.08,442.93
CP Core,Andean,Colombia,Specialty,Cotton (L2),Insecticides,fipronil,AMULET 200SC -  [L],15.39,15.39,413.1,416.73
CP Core,Andean,Colombia,Specialty,Oil Palm (L3),Insecticides,fipronil,AMULET 200SC -  [L],19.94,19.94,535.34,540.04
CP Core,Andean,Colombia,Specialty,Other Fruits (L3),Insecticides,fipronil,AMULET 200SC -  [L],9.44,9.44,253.43,255.66
CP Core,Andean,Colombia,Specialty,Specialty Others Remaining (L3),Insecticides,fipronil,AMULET 200SC -  [L],15.37,15.37,412.71,416.33
CP Core,Andean,Colombia,Vegetables,Cucurbits Others (L3),Insecticides,fipronil,AMULET 200SC -  [L],0.79,0.79,21.14,21.33
CP Core,Andean,Colombia,Vegetables,Dry Legumes / Pulses (L3),Insecticides,fipronil,AMULET 200SC -  [L],6.3,6.3,169.2,170.69
CP Core,Andean,Colombia,Vegetables,Garden Peas (L3),Insecticides,fipronil,AMULET 200SC -  [L],1.06,1.06,28.41,28.66
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Insecticides,fipronil,AMULET 200SC -  [L],3.22,3.22,86.45,87.21
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Insecticides,fipronil,AMULET 200SC -  [L],12.48,12.48,335.19,338.14
CP Core,Andean,Colombia,Rice,Rice (L2),Seed Treatment,imidacloprid+tebuconazole,ANCLA FS -  [L],1.07,1.07,22.88,23.08
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,propineb,ANTRACOL 70 WP -  [KG],42.99,42.99,384.99,388.37
CP Core,Andean,Colombia,Specialty,Specialty Others Remaining (L3),Fungicides,propineb,ANTRACOL 70 WP -  [KG],87.05,87.05,779.61,786.46
CP Core,Andean,Colombia,Vegetables,Cucurbits Others (L3),Fungicides,propineb,ANTRACOL 70 WP -  [KG],12.6,12.6,112.82,113.81
CP Core,Andean,Colombia,Vegetables,Brassicas Oleracea (L3),Fungicides,propineb,ANTRACOL 70 WP -  [KG],82.75,82.75,741.11,747.62
CP Core,Andean,Colombia,Vegetables,Alliums (L3),Fungicides,propineb,ANTRACOL 70 WP -  [KG],70.93,70.93,635.24,640.82
CP Core,Andean,Colombia,Vegetables,Dry Legumes / Pulses (L3),Fungicides,propineb,ANTRACOL 70 WP -  [KG],88.13,88.13,789.23,796.16
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Fungicides,propineb,ANTRACOL 70 WP -  [KG],13.97,13.97,125.12,126.22
CP Core,Andean,Colombia,Soybeans,Soybeans (L2),Fungicides,azoxystrobin+cyproconazole+kresoxim-methyl,ASONADA 370 SC (AZOXIESTROBINA + CIPROCONAZOL + KRESOXIM METIL) -  [L],1.44,1.44,30.59,30.86
CP Core,Andean,Colombia,Specialty,Plantations Coffee (L2),Fungicides,azoxystrobin+cyproconazole+kresoxim-methyl,ASONADA 370 SC (AZOXIESTROBINA + CIPROCONAZOL + KRESOXIM METIL) -  [L],3.3,3.3,70.37,70.99
CP Core,Andean,Colombia,Rice,Rice (L2),Herbicides,quinclorac,ATAJAL 250SC -  [L],8.53,8.53,78.55,79.24
CP Core,Andean,Colombia,Specialty,Specialty Others Remaining (L3),Herbicides,clethodim,ATENAS 240 EC (CLETODIM) -  [L],4.18,4.18,64.86,65.43
CP Core,Andean,Colombia,Vegetables,Alliums (L3),Herbicides,clethodim,ATENAS 240 EC (CLETODIM) -  [L],2.51,2.51,38.91,39.26
CP Core,Andean,Colombia,Corn,Corn (L2),Herbicides,atrazine,ATRAZINA -  [L],77.54,77.54,336.4,339.35
CP Core,Andean,Colombia,Corn,Corn (L2),Seed Treatment,imidacloprid+thiodicarb,AUDAX 60 FS -  [L],2.36,2.36,118.26,119.3
CP Core,Andean,Colombia,Specialty,Cotton (L2),Seed Treatment,imidacloprid+thiodicarb,AUDAX 60 FS -  [L],1.92,1.92,44.28,44.67
CP Core,Andean,Colombia,Rice,Rice (L2),Fungicides,azoxystrobin+flutriafol,AUTHORITY 250 SC -  [L] -  [L],8.26,8.26,176.93,178.49
CP Core,Andean,Colombia,Specialty,Plantations Coffee (L2),Fungicides,azoxystrobin+flutriafol,AUTHORITY 250 SC -  [L] -  [L],1.11,1.11,33.94,34.24
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,azoxystrobin+flutriafol,AUTHORITY 250 SC -  [L] -  [L],15.44,15.44,252.23,254.45
CP Core,Andean,Colombia,Rice,Rice (L2),Fungicides,azoxystrobin+tebuconazole,AZIMUT 320 SC -  [L],42.99,42.99,800.07,807.09
CP Core,Andean,Colombia,Specialty,Bananas (L3),Fungicides,tridemorph,BANANIN 860 OL (TRIDEMORF) -  [L],9.96,9.96,131.91,133.07
CP Core,Andean,Colombia,Rice,Rice (L2),Insecticides,fipronil+thiamethoxam,BARAKA 54 SC (FIPRONIL + TIAMETOXAM) -  [L],9.56,9.56,351.43,354.51
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Insecticides,fipronil+thiamethoxam,BARAKA 54 SC (FIPRONIL + TIAMETOXAM) -  [L],6.69,6.69,245.83,247.99
CP Core,Andean,Colombia,Rice,Rice (L2),Fungicides,mefentrifluconazole,BELANTY SC -  [L],24.65,24.65,778.34,785.18
CP Core,Andean,Colombia,Specialty,Citrus (L2),Fungicides,carbendazim,BELICO -  [L],1.52,1.52,7.99,8.06
CP Core,Andean,Colombia,Soybeans,Soybeans (L2),Insecticides,flubendiamide,BELT SC -  [L],2.39,2.39,268.24,270.6
CP Core,Andean,Colombia,Specialty,Other Fruits (L3),Insecticides,flubendiamide,BELT SC -  [L],3.32,3.32,373.16,376.44
CP Core,Andean,Colombia,Specialty,Specialty Others Remaining (L3),Insecticides,flubendiamide,BELT SC -  [L],0.25,0.25,27.64,27.88
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Insecticides,flubendiamide,BELT SC -  [L],2,2,225.2,227.17
CP Core,Andean,Colombia,Specialty,Bananas (L3),Others,adjuvant,COSMO IND 27 SL,60,60,183.3,184.91
CP Core,Andean,Colombia,Specialty,Other Fruits (L3),Insecticides,emamectin,BURIL -  [L],7.42,7.42,216.47,218.37
CP Core,Andean,Colombia,Specialty,Citrus (L2),Fungicides,metiram+pyraclostrobin,CABRIO TOP WG -  [KG],2.72,2.72,24.73,24.95
CP Core,Andean,Colombia,Specialty,Other Fruits (L3),Fungicides,metiram+pyraclostrobin,CABRIO TOP WG -  [KG],42.5,42.5,386.41,389.8
CP Core,Andean,Colombia,Vegetables,Dry Legumes / Pulses (L3),Fungicides,metiram+pyraclostrobin,CABRIO TOP WG -  [KG],18.25,18.25,165.88,167.34
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Fungicides,metiram+pyraclostrobin,CABRIO TOP WG -  [KG],3.06,3.06,27.82,28.07
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,metiram+pyraclostrobin,CABRIO TOP WG -  [KG],15.47,15.47,140.66,141.9
CP Core,Andean,Colombia,Specialty,Citrus (L2),Herbicides,paraquat,CERRERO 200 SL -  [L],153.08,153.08,608.27,613.61
CP Core,Andean,Colombia,Specialty,Bananas (L3),Herbicides,paraquat,CALLIQUAT 200 SL -  [L],42.74,42.74,169.83,171.32
CP Core,Andean,Colombia,Specialty,Plantain (L3),Herbicides,paraquat,CALLIQUAT 200 SL -  [L],107.47,107.47,427.03,430.78
CP Core,Andean,Colombia,Vegetables,Cucurbits Others (L3),Herbicides,paraquat,CALLIQUAT 200 SL -  [L],17.16,17.16,68.2,68.79
CP Core,Andean,Colombia,Vegetables,Garden Peas (L3),Herbicides,paraquat,CALLIQUAT 200 SL -  [L],11.77,11.77,46.78,47.19
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Herbicides,paraquat,CALLIQUAT 200 SL -  [L],2.49,2.49,9.88,9.96
CP Core,Andean,Colombia,Vegetables,Alliums (L3),Fungicides,difenoconazole,CANCILLER 250 EC (DIFENOCONAZOL) -  [L],3.76,3.76,39.76,40.11
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,difenoconazole,CANCILLER 250 EC (DIFENOCONAZOL) -  [L],4.3,4.3,45.44,45.84
CP Core,Andean,Colombia,Specialty,Citrus (L2),Insecticides,abamectin,CANDONGA -  [L],25.79,25.79,329.88,332.78
CP Core,Andean,Colombia,Specialty,Other Fruits (L3),Insecticides,abamectin,CANDONGA -  [L],62.33,62.33,797.21,804.21
CP Core,Andean,Colombia,Specialty,Specialty Others Remaining (L3),Insecticides,abamectin,CANDONGA -  [L],7.52,7.52,96.21,97.06
CP Core,Andean,Colombia,Sugarcane,Sugarcane (L2),Herbicides,Ametryn,CANE -  [L],207.28,207.28,806.82,813.9
CP Core,Andean,Colombia,Specialty,Citrus (L2),Fungicides,boscalid,CANTUS 50 WG -  [KG],0.57,0.57,22.66,22.86
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,boscalid,CANTUS 50 WG -  [KG],5.54,5.54,219.2,221.13
CP Core,Andean,Colombia,Specialty,Citrus (L2),Fungicides,carbendazim,CARBENCAL -  [L],1.33,1.33,5.37,5.41
CP Core,Andean,Colombia,Specialty,Avocados (L3),Fungicides,carbendazim,CARBENCAL -  [L],139.09,139.09,520.77,525.35
CP Core,Andean,Colombia,Specialty,Other Fruits (L3),Fungicides,carbendazim,CARBENCAL -  [L],81.39,81.39,304.71,307.39
CP Core,Andean,Colombia,Vegetables,Alliums (L3),Fungicides,carbendazim,CARBENCAL -  [L],1.36,1.36,5.1,5.14
CP Core,Andean,Colombia,Vegetables,Garden Peas (L3),Fungicides,carbendazim,CARBENCAL -  [L],117.7,117.7,440.66,444.52
CP Core,Andean,Colombia,Specialty,Bananas (L3),Fungicides,chlorothalonil,CENTAURO -  [L],30.09,30.09,113.47,114.46
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,chlorothalonil,CENTAURO -  [L],46.21,46.21,174.25,175.78
CP Core,Andean,Colombia,Specialty,Specialty Others Remaining (L3),Fungicides,chlorothalonil,CENTAURO -  [L],85.98,85.98,324.19,327.03
CP Core,Andean,Colombia,Vegetables,Cucurbits Others (L3),Fungicides,chlorothalonil,CENTAURO -  [L],4.3,4.3,16.21,16.35
CP Core,Andean,Colombia,Vegetables,Dry Legumes / Pulses (L3),Fungicides,chlorothalonil,CENTAURO -  [L],10.75,10.75,40.52,40.88
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,chlorothalonil,CENTAURO -  [L],17.2,17.2,64.84,65.41
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Herbicides,paraquat,CERRERO 200 SL -  [L],85.08,368.89,338.05,1
CP Core,Andean,Colombia,Vegetables,Cucurbits Others (L3),Herbicides,paraquat,CERRERO 200 SL -  [L],12.01,12.01,47.71,48.13
CP Core,Andean,Colombia,Vegetables,Garden Peas (L3),Herbicides,paraquat,CERRERO 200 SL -  [L],11.61,11.61,46.15,46.55
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Herbicides,paraquat,CERRERO 200 SL -  [L],3.35,3.35,13.31,13.42
CP Core,Andean,Colombia,Rice,Rice (L2),Seed Treatment,imidacloprid,CIGARAL 600 FS (IMIDACLOPRID) -  [L],1.61,1.61,35.81,36.12
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Insecticides,cypermethrin,Cipermetrina UPL -  [L],21.49,21.49,65.98,66.56
CP Core,Andean,Colombia,Corn,Corn (L2),Insecticides,chlorpyrifos,CLORPIRICOL 4 EC -  [L],46.21,46.21,266.44,268.78
CP Core,Andean,Colombia,Rice,Rice (L2),Insecticides,sulfoxaflor,CLOSER 240 SC -  [L],2.4,2.4,90.53,91.33
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,copper oxychloride+mancozeb,COBRETHANE -  [L],7.9,7.9,33.91,34.21
CP Core,Andean,Colombia,Vegetables,Cucurbits Others (L3),Fungicides,copper oxychloride+mancozeb,COBRETHANE -  [L],1.46,1.46,6.26,6.32
CP Core,Andean,Colombia,Vegetables,Brassicas Oleracea (L3),Fungicides,copper oxychloride+mancozeb,COBRETHANE -  [L],6.9,6.9,29.62,29.88
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Fungicides,copper oxychloride+mancozeb,COBRETHANE -  [L],3.74,3.74,16.04,16.18
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,copper oxychloride+mancozeb,COBRETHANE -  [L],6.27,6.27,26.94,27.17
CP Core,Andean,Colombia,Specialty,Plantain (L3),Insecticides,imidacloprid,CONFIDOR 350 SC -  [L],5.37,5.37,119.36,120.41
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Insecticides,beta-cyfluthrin+imidacloprid,CONNECT DUO OD300 -  [L],5.91,5.91,168.53,170.01
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Insecticides,beta-cyfluthrin+imidacloprid,CONNECT DUO OD300 -  [L],16.12,16.12,404.1,407.65
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,fenamidone+propamocarb,CONSENTO 450 SC -  [L],41.15,41.15,707.02,713.23
CP Core,Andean,Colombia,Vegetables,Alliums (L3),Fungicides,fenamidone+propamocarb,CONSENTO 450 SC -  [L],3.97,3.97,68.15,68.75
CP Core,Andean,Colombia,Corn,Corn (L2),Insecticides,emamectin,CONTRINO 50 WP (EMAMECTINA) -  [L],9.89,9.89,288.63,291.17
CP Core,Andean,Colombia,Rice,Rice (L2),Insecticides,emamectin,CONTRINO 50 WP (EMAMECTINA) -  [L],5.93,5.93,173.18,174.7
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Insecticides,chlorantraniliprole,CORAGEN (CLORANTRANILIPROLE) -  [L],6.19,6.19,645.93,651.61
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Insecticides,chlorantraniliprole,CORAGEN (CLORANTRANILIPROLE) -  [L],6.51,6.51,679.2,685.16
CP Core,Andean,Colombia,Specialty,Bananas (L3),Fungicides,boscalid,CUMORA 500 SC -  [L],28.86,28.86,900.39,908.3
CP Core,Andean,Colombia,Specialty,Grapes (L2),Fungicides,cymoxanil+mancozeb,CURAXIL -  [KG],29.63,29.63,127.19,128.3
CP Core,Andean,Colombia,Specialty,Specialty Others Remaining (L3),Fungicides,cymoxanil+mancozeb,CURAXIL -  [KG],23.62,23.62,101.37,102.26
CP Core,Andean,Colombia,Vegetables,Cucurbits Others (L3),Fungicides,cymoxanil+mancozeb,CURAXIL -  [KG],2.74,2.74,11.76,11.86
CP Core,Andean,Colombia,Vegetables,Alliums (L3),Fungicides,cymoxanil+mancozeb,CURAXIL -  [KG],55.39,55.39,237.73,239.82
CP Core,Andean,Colombia,Vegetables,Dry Legumes / Pulses (L3),Fungicides,cymoxanil+mancozeb,CURAXIL -  [KG],128.18,128.18,550.19,555.02
CP Core,Andean,Colombia,Vegetables,Garden Peas (L3),Fungicides,cymoxanil+mancozeb,CURAXIL -  [KG],135.09,135.09,579.84,584.93
CP Core,Andean,Colombia,Specialty,Plantations Coffee (L2),Insecticides,ethiprole+imidacloprid,CURBIX -  [L],1.66,1.66,87.13,87.89
CP Core,Andean,Colombia,Vegetables,Cucurbits Others (L3),Fungicides,cymoxanil+mancozeb,CURZATE  M-8 -  [KG],3.32,3.32,17.76,17.91
CP Core,Andean,Colombia,Vegetables,Alliums (L3),Fungicides,cymoxanil+mancozeb,CURZATE  M-8 -  [KG],106.35,106.35,568.3,573.29
CP Core,Andean,Colombia,Vegetables,Dry Legumes / Pulses (L3),Fungicides,cymoxanil+mancozeb,CURZATE  M-8 -  [KG],143.44,143.44,766.47,773.2
CP Core,Andean,Colombia,Vegetables,Garden Peas (L3),Fungicides,cymoxanil+mancozeb,CURZATE  M-8 -  [KG],144.43,144.43,771.77,778.55
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,cymoxanil+mancozeb,CURZATE  M-8 -  [KG],64.55,64.55,344.91,347.94
CP Core,Andean,Colombia,Rice,Rice (L2),Fungicides,azoxystrobin+tebuconazole,CUSTODIA 32 SC -  [L],21.49,21.49,400.03,403.55
CP Core,Andean,Colombia,Sugarcane,Sugarcane (L2),Herbicides,clomazone,DAKOTA -  [L],6.65,6.65,60.35,60.88
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Insecticides,dimethoate,DANADIM 40 EC -  [DIMETOATO] -  [L],41.82,41.82,185.56,187.19
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Insecticides,dimethoate,DANADIM 40 EC -  [DIMETOATO] -  [L],83.43,83.43,370.23,373.48
CP Core,Andean,Colombia,Corn,Corn (L2),Herbicides,glufosinate,DESTIERRO -  [L],13.04,13.04,87.73,88.5
CP Core,Andean,Colombia,Specialty,Citrus (L2),Herbicides,glufosinate,DESTIERRO -  [L],9.53,9.53,64.08,64.64
CP Core,Andean,Colombia,Specialty,Plantations Coffee (L2),Herbicides,glufosinate,DESTIERRO -  [L],66.46,66.46,447.06,450.99
CP Core,Andean,Colombia,Specialty,Bananas (L3),Herbicides,glufosinate,DESTIERRO -  [L],25.09,25.09,168.77,170.25
CP Core,Andean,Colombia,Specialty,Avocados (L3),Herbicides,glufosinate,DESTIERRO -  [L],0.78,0.78,5.22,5.26
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,difenoconazole,DIFECOL -  [L],6.45,6.45,68.16,68.76
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Fungicides,difenoconazole,DIFECOL -  [L],2.15,2.15,22.72,22.92
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,difenoconazole,DIFECOL -  [L],8.06,8.06,85.2,85.95
CP Core,Andean,Colombia,Vegetables,Alliums (L3),Insecticides,deltamethrin,DINASTIA EC -  [L],0.87,0.87,21.55,21.74
CP Core,Andean,Colombia,Specialty,Bananas (L3),Fungicides,mancozeb,DITHANE FMB -  [KG],1.07,1.07,3.47,3.5
CP Core,Andean,Colombia,Specialty,Plantain (L3),Fungicides,mancozeb,DITHANE M-45 -  [KG],0.7,0.7,2.26,2.28
CP Core,Andean,Colombia,Specialty,Other Fruits (L3),Fungicides,mancozeb,DITHANE M-45 -  [KG],1.61,1.61,5.2,5.25
CP Core,Andean,Colombia,Vegetables,Cucurbits Others (L3),Fungicides,mancozeb,DITHANE M-45 -  [KG],13.4,13.4,43.25,43.63
CP Core,Andean,Colombia,Vegetables,Brassicas Oleracea (L3),Fungicides,mancozeb,DITHANE M-45 -  [KG],73.77,73.77,238.19,240.28
CP Core,Andean,Colombia,Vegetables,Alliums (L3),Fungicides,mancozeb,DITHANE M-45 -  [KG],121.81,121.81,393.29,396.75
CP Core,Andean,Colombia,Vegetables,Dry Legumes / Pulses (L3),Fungicides,mancozeb,DITHANE M-45 -  [KG],257.93,257.93,832.77,840.09
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Fungicides,mancozeb,DITHANE M-45 -  [KG],84.24,84.24,271.99,274.38
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,mancozeb,DITHANE M-45 -  [KG],41.26,41.26,133.23,134.4
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,difenoconazole,DIVINO 250 EC -  [L],6.45,6.45,68.16,68.76
CP Core,Andean,Colombia,Specialty,Avocados (L3),Fungicides,difenoconazole,DIVINO 250 EC -  [L],1.07,1.07,11.36,11.46
CP Core,Andean,Colombia,Vegetables,Alliums (L3),Fungicides,difenoconazole,DIVINO 250 EC -  [L],1.61,1.61,17.04,17.19
CP Core,Andean,Colombia,Vegetables,Dry Legumes / Pulses (L3),Fungicides,difenoconazole,DIVINO 250 EC -  [L],11.82,11.82,124.96,126.05
CP Core,Andean,Colombia,Vegetables,Garden Peas (L3),Fungicides,difenoconazole,DIVINO 250 EC -  [L],5.37,5.37,56.8,57.3
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Fungicides,difenoconazole,DIVINO 250 EC -  [L],1.61,1.61,17.04,17.19
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,difenoconazole,DIVINO 250 EC -  [L],1.61,1.61,17.04,17.19
CP Core,Andean,Colombia,Specialty,Bananas (L3),Fungicides,chlorothalonil,DURONIL 720 SC (CLOROTALONIL) -  [L],214.94,214.94,810.47,817.58
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,dimethomorph,EBANO -  [L],22.57,22.57,342.76,345.77
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,dimethomorph,EBANO -  [L],1.61,1.61,24.48,24.7
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,sulfur,ELOSAL 720 SC -  [L],16.15,16.15,52.04,52.49
CP Core,Andean,Colombia,Specialty,Other Fruits (L3),Fungicides,sulfur,ELOSAL 720 SC -  [L],49.15,49.15,158.33,159.72
CP Core,Andean,Colombia,Specialty,Oil Palm (L3),Insecticides,emamectin,EMAMECTINA DVA -  [L],3.95,3.95,115.45,116.47
CP Core,Andean,Colombia,Vegetables,Brassicas Oleracea (L3),Insecticides,emamectin,EMAMECTINA DVA -  [L],9.89,9.89,288.63,291.17
